label,text
0,Don't forget to bring your charger.
0,Can you send me the report by EOD?
0,Can you send me the report by EOD?
0,Your appointment is confirmed for 3 PM.
1,Your loan has been approved. Claim now!
0,Let me know if you need help with the task.
0,Your appointment is confirmed for 3 PM.
0,Your appointment is confirmed for 3 PM.
0,Can you send me the report by EOD?
1,Youâve been selected for a cash prize. Click here!
0,Don't forget to bring your charger.
0,I'm free this weekend if you want to hang out.
0,Let's catch up for coffee soon.
0,Good luck on your exam!
0,Your appointment is confirmed for 3 PM.
0,I'll be there in 10 minutes.
0,Don't forget to bring your charger.
0,I'm free this weekend if you want to hang out.
0,I'll be there in 10 minutes.
0,I'm free this weekend if you want to hang out.
0,Happy birthday! Have an amazing day!
0,I'm free this weekend if you want to hang out.
0,Let's catch up for coffee soon.
0,Can you send me the report by EOD?
0,Let's catch up for coffee soon.
0,Let me know if you need help with the task.
0,I'm free this weekend if you want to hang out.
0,Let's catch up for coffee soon.
0,I'm free this weekend if you want to hang out.
0,Happy birthday! Have an amazing day!
0,I'll be there in 10 minutes.
0,Your appointment is confirmed for 3 PM.
0,Can you send me the report by EOD?
0,I'm free this weekend if you want to hang out.
0,Your appointment is confirmed for 3 PM.
0,I'm free this weekend if you want to hang out.
0,Can you send me the report by EOD?
1,Limited time offer! Buy one get one free!
0,I'll be there in 10 minutes.
0,I'll be there in 10 minutes.
0,I'll be there in 10 minutes.
1,You've been chosen for a free iPhone. Act fast!
0,Let's catch up for coffee soon.
1,Hot singles in your area want to chat!
0,Let's catch up for coffee soon.
0,Let's catch up for coffee soon.
0,Let me know if you need help with the task.
1,Limited time offer! Buy one get one free!
1,Limited time offer! Buy one get one free!
0,Good luck on your exam!
0,Let me know if you need help with the task.
0,I'm free this weekend if you want to hang out.
0,I'm free this weekend if you want to hang out.
0,Let's catch up for coffee soon.
0,Good luck on your exam!
0,Hey! Are we still meeting tomorrow?
0,Don't forget to bring your charger.
0,I'm free this weekend if you want to hang out.
1,Limited time offer! Buy one get one free!
0,Happy birthday! Have an amazing day!
1,Limited time offer! Buy one get one free!
0,Can you send me the report by EOD?
0,Your appointment is confirmed for 3 PM.
0,Happy birthday! Have an amazing day!
0,Don't forget to bring your charger.
0,Your appointment is confirmed for 3 PM.
0,Happy birthday! Have an amazing day!
0,Good luck on your exam!
1,Congratulations! You've won a free cruise. Call now!
1,Hot singles in your area want to chat!
0,I'm free this weekend if you want to hang out.
0,Your appointment is confirmed for 3 PM.
0,Don't forget to bring your charger.
0,Can you send me the report by EOD?
0,Good luck on your exam!
0,Can you send me the report by EOD?
0,Your appointment is confirmed for 3 PM.
0,I'm free this weekend if you want to hang out.
0,Don't forget to bring your charger.
0,Can you send me the report by EOD?
0,Happy birthday! Have an amazing day!
0,Good luck on your exam!
0,Don't forget to bring your charger.
0,Hey! Are we still meeting tomorrow?
0,I'm free this weekend if you want to hang out.
0,Your appointment is confirmed for 3 PM.
0,Good luck on your exam!
0,I'll be there in 10 minutes.
1,Click to unsubscribe or youâll be charged!
0,Hey! Are we still meeting tomorrow?
0,Good luck on your exam!
0,I'll be there in 10 minutes.
0,Let me know if you need help with the task.
1,Earn $5000 per week working from home!
0,Happy birthday! Have an amazing day!
0,Let's catch up for coffee soon.
0,Let me know if you need help with the task.
1,Youâve been selected for a cash prize. Click here!
0,Can you send me the report by EOD?
0,Let me know if you need help with the task.
0,Let me know if you need help with the task.
0,Let me know if you need help with the task.
0,Let me know if you need help with the task.
0,Don't forget to bring your charger.
0,Hey! Are we still meeting tomorrow?
0,Don't forget to bring your charger.
0,Happy birthday! Have an amazing day!
0,Good luck on your exam!
0,Let me know if you need help with the task.
0,Let's catch up for coffee soon.
0,Your appointment is confirmed for 3 PM.
0,Can you send me the report by EOD?
0,I'll be there in 10 minutes.
0,I'll be there in 10 minutes.
0,Let's catch up for coffee soon.
0,I'll be there in 10 minutes.
0,I'm free this weekend if you want to hang out.
0,Don't forget to bring your charger.
0,Let me know if you need help with the task.
0,Can you send me the report by EOD?
0,Good luck on your exam!
0,Happy birthday! Have an amazing day!
0,Your appointment is confirmed for 3 PM.
0,Let's catch up for coffee soon.
0,Let me know if you need help with the task.
1,Earn $5000 per week working from home!
0,Let's catch up for coffee soon.
0,I'll be there in 10 minutes.
0,Can you send me the report by EOD?
0,Let's catch up for coffee soon.
1,Limited time offer! Buy one get one free!
0,Don't forget to bring your charger.
1,Click to unsubscribe or youâll be charged!
0,Can you send me the report by EOD?
0,Let me know if you need help with the task.
0,Can you send me the report by EOD?
0,Let me know if you need help with the task.
0,Hey! Are we still meeting tomorrow?
0,Let me know if you need help with the task.
0,Let me know if you need help with the task.
0,Good luck on your exam!
0,Good luck on your exam!
1,You've been chosen for a free iPhone. Act fast!
0,Good luck on your exam!
0,Don't forget to bring your charger.
0,Hey! Are we still meeting tomorrow?
0,Let me know if you need help with the task.
0,Your appointment is confirmed for 3 PM.
0,Good luck on your exam!
0,Can you send me the report by EOD?
0,Happy birthday! Have an amazing day!
0,Let me know if you need help with the task.
0,Don't forget to bring your charger.
0,Let's catch up for coffee soon.
0,I'm free this weekend if you want to hang out.
1,Click to unsubscribe or youâll be charged!
0,Your appointment is confirmed for 3 PM.
1,Get cheap meds online without prescription.
0,Let's catch up for coffee soon.
0,Happy birthday! Have an amazing day!
0,I'm free this weekend if you want to hang out.
0,Let's catch up for coffee soon.
0,Don't forget to bring your charger.
1,Limited time offer! Buy one get one free!
0,Good luck on your exam!
0,Let's catch up for coffee soon.
0,Your appointment is confirmed for 3 PM.
0,Happy birthday! Have an amazing day!
1,Get cheap meds online without prescription.
1,Get cheap meds online without prescription.
0,I'm free this weekend if you want to hang out.
0,I'm free this weekend if you want to hang out.
1,Limited time offer! Buy one get one free!
1,Your loan has been approved. Claim now!
0,I'm free this weekend if you want to hang out.
1,Click to unsubscribe or youâll be charged!
0,Happy birthday! Have an amazing day!
0,Let's catch up for coffee soon.
0,Let's catch up for coffee soon.
